Name,rarity,collector_number,type,image_url,Unique ID,Name,Pitch,Cost,Power,Defense,Health,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,,all_cards,assassin_cards,illusionist_cards,ninja_cards
Attune with Cosmic Vibrations (blue),mythic,MST075,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST075.png,QTk8NJWmtGQnw9WFTkkP7,Attune with Cosmic Vibrations,3,0,2,2,,,"Mystic, Action, Attack",,,,,,,"When this attacks a hero or defends a hero's attack, reveal the top card of their deck. If the revealed card is blue, this gets +3{p} and +3{d}.",Mystic Action - Attack,,,,No,,15,2,7,6
Cosmic Awakening (blue),mythic,MST076,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST076.png,L7GjnTRkPzCWDfwjfBj7n,Cosmic Awakening,3,9,*,3,,,"Mystic, Action, Attack",,,,,,,"If 1 Chi was pitched to play this, Cosmic Awakening's {p} is 10.  If 2 Chi were pitched to play this, Cosmic Awakening's {p} is 15.  If 3 or more Chi were pitched to play this, Cosmic Awakening's {p} is 20.",Mystic Action - Attack,,,,No,,16,5,5,6
Levels of Enlightenment (blue),mythic,MST077,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST077.png,PzdWT6J9q9kMDBkMpjC9F,Levels of Enlightenment,3,1,3,3,,,"Mystic, Action, Attack",Go again,,,,,,"When this attacks, choose 1 for each blue card you've pitched this turn; - Draw a card. - This gets +2{p}. - This gets **go again**.",Mystic Action - Attack,,,,No,,20,12,2,6
Unravel Aggression (blue),mythic,MST078,"Mystic, Defense Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST078.png,mK6zddQhzHTpR9Jnw8chw,Unravel Aggression,3,3,,5,,,"Mystic, Defense Reaction",,,,,,,"If a Chi was pitched to play this, draw a card.",Mystic Defense Reaction,,,,No,,14,5,7,2
Dense Blue Mist (blue),mythic,MST079,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST079.png,hNdDhKhhpGwKTCT7wMRCp,Dense Blue Mist,3,1,,,,,"Mystic, Instant",,,,,,,"Attacks that target you this turn get -1{p}.  If a Chi was pitched to play this, effects don't trigger if an attack hits you this turn.",Mystic Instant,,,,No,,8,1,6,1
Orihon of Mystic Tenets (blue),mythic,MST080,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST080.png,bwtjtjCqP6wTHtkR9HtGh,Orihon of Mystic Tenets,3,4,,,,,"Mystic, Instant",Legendary,,,,,,"**Legendary**  Draw 2 cards. If a Chi was pitched to play this, instead draw 3 cards.",Mystic Instant,,,,No,,8,2,3,3
Second Tenet of Chi: Moon (blue),rare,MST081,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST081.png,HFtcFTzQwfjNwk89mLRjD,Second Tenet of Chi: Moon,3,3,5,3,,,"Mystic, Action, Attack",,,,,,Transcend,"If you've **transcended** this turn, this gets ""When this chain link resolves, draw a card.""",Mystic Action - Attack,,,,No,,53,9,30,14
Second Tenet of Chi: Tide (blue),rare,MST082,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST082.png,fLCJkLgGtkfJd6pBq8fJK,Second Tenet of Chi: Tide,3,3,5,3,,,"Mystic, Action, Attack",,,,,,Transcend,"If you've **transcended** this turn, this gets +2{p}.",Mystic Action - Attack,,,,No,,56,9,29,18
Second Tenet of Chi: Wind (blue),rare,MST083,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST083.png,T6hdfgDWQgPTm8RJ8HpfQ,Second Tenet of Chi: Wind,3,3,5,3,,,"Mystic, Action, Attack",Go again,,,,,Transcend,"If you've **transcended** this turn, this gets **go again**.",Mystic Action - Attack,,,,No,,63,18,33,12
Deep Blue Sea (blue),rare,MST084,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST084.png,rkfqjFKJHdtqRLKJwgQNG,Deep Blue Sea,3,4,5,2,,,"Mystic, Action, Attack",,,,,,,This gets +1{p} for each blue card you've pitched this turn.,Mystic Action - Attack,,,,No,,46,18,20,8
Wide Blue Yonder (blue),rare,MST085,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST085.png,GHJwMBntf9h6wFk7Dfk7j,Wide Blue Yonder,3,0,,2,,,"Mystic, Attack Reaction",,,,,,,Target attack gets +1{p} for each blue card you've pitched this turn.,Mystic Attack Reaction,,,,No,,75,27,24,24
Big Blue Sky (blue),rare,MST086,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST086.png,9GHTwjj8W9dWDtc9zbfmc,Big Blue Sky,3,0,,2,,,"Mystic, Defense Reaction",,,,,,,This gets +1{d} for each blue card you've pitched this turn.,Mystic Defense Reaction,,,,No,,57,8,44,5
Droplet (blue),common,MST087,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST087.png,gzdhT8FLprLrfPNCdNtR7,Droplet,3,0,2,2,,,"Mystic, Action, Attack",,,,,,,"If you've played another blue card this turn, this gets +2{p}.",Mystic Action - Attack,,,,,,137,33,38,66
Rising Tide (blue),common,MST088,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST088.png,m8qP9TTpMfdKndW7wN7M7,Rising Tide,3,1,3,2,,,"Mystic, Action, Attack",,,,,,,"If you've played another blue card this turn, this gets +2{p}.",Mystic Action - Attack,,,,,,152,40,49,63
Spillover (blue),common,MST089,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST089.png,PTbtpLNBrfMq9nNffBmMJ,Spillover,3,2,4,2,,,"Mystic, Action, Attack",,,,,,,"If you've played another blue card this turn, this gets +2{p}.",Mystic Action - Attack,,,,,,133,41,49,43
Tidal Surge (blue),common,MST090,"Mystic, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST090.png,qLbkgfKHC7bFpQhKbNdCw,Tidal Surge,3,3,5,2,,,"Mystic, Action, Attack",,,,,,,"If you've played another blue card this turn, this gets +2{p}.",Mystic Action - Attack,,,,,,130,41,51,38
Wash Away (blue),common,MST091,"Mystic, Defense Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST091.png,wdLw8WtkJzf79bfKPbzj9,Wash Away,3,2,,3,,,"Mystic, Defense Reaction",,,,,,,"If you've played another blue card this turn, this gets +2{d}.",Mystic Defense Reaction,,,,,,142,27,91,24
First Tenet of Chi: Moon (blue),common,MST092,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST092.png,BwjpdtTFfBRTJHgKMM6rn,First Tenet of Chi: Moon,3,0,,3,,,"Mystic, Action",Go again,,,,,,"Your next blue attack this turn gets ""When this attacks, draw a card.""  **Go again**",Mystic Action,,,,,,211,36,105,70
First Tenet of Chi: Tide (blue),common,MST093,"Mystic, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST093.png,rtLfTrnFcDBQhtbFprGRD,First Tenet of Chi: Tide,3,0,,3,,,"Mystic, Action",Go again,,,,,,Your next blue attack this turn gets +2{p}.  **Go again**,Mystic Action,,,,,,216,47,102,67
First Tenet of Chi: Wind (blue),common,MST094,"Mystic, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST094.png,tCjqz6rHFKTmDpDkfHmzm,First Tenet of Chi: Wind,3,0,,3,,,"Mystic, Action",Go again,,,Go again,,,The next blue action card you play this turn gets **go again**.  Go again,Mystic Action,,,,,,188,36,100,52
A Drop in the Ocean (blue),common,MST095,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST095.png,CqNB8MLzfCh6tRP6RRMdj,A Drop in the Ocean,3,0,,,,,"Mystic, Instant","Legendary, Transcend",,,,,,"**Legendary**  Target attack gets -1{p}.  If you've played another blue card this turn, **transcend**.",Mystic Instant,,,,,,211,16,169,26
Homage to Ancestors (blue),common,MST096,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST096.png,mzKLGwTBmFHFd8KNdPQ7n,Homage to Ancestors,3,0,,,,,"Mystic, Instant","Legendary, Transcend",,,,,,"**Legendary**  Gain 1{h}  If you've played another blue card this turn, **transcend**.",Mystic Instant,,,,,,214,55,100,59
Pass Over (blue),common,MST097,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST097.png,m9tj8WGNNjQPt8wjMqFFf,Pass Over,3,0,,,,,"Mystic, Instant","Legendary, Transcend",,,,,,"**Legendary**  Banish target card from an opposing hero's graveyard.  If you've played another blue card this turn, **transcend**.",Mystic Instant,,,,,,152,83,35,34
Path Well Traveled (blue),common,MST098,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST098.png,7fN6NNBdf9KQF9gWWpdzL,Path Well Traveled,3,0,,,,,"Mystic, Instant","Legendary, Transcend",,,Go again,,,"**Legendary**  Target attack gets **go again**.  If you've played another blue card this turn, **transcend**.",Mystic Instant,,,,,,190,75,59,56
Preserve Tradition (blue),common,MST099,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST099.png,jpWjmrzckFnCzG8tFMppt,Preserve Tradition,3,0,,,,,"Mystic, Instant","Legendary, Transcend",,,,,,"**Legendary**  Put target action card from your graveyard on the bottom of your deck.  If you've played another blue card this turn, **transcend**.",Mystic Instant,,,,,,208,37,73,98
"Rising Sun, Setting Moon (blue)",common,MST100,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST100.png,PtqHmkzqPMf9KBfk88QrR,"Rising Sun, Setting Moon",3,0,,,,,"Mystic, Instant","Legendary, Transcend",,,,,,"**Legendary**  Draw a card, then put a card from your hand on the bottom of your deck.  If you've played another blue card this turn, **transcend**.",Mystic Instant,,,,,,178,44,71,63
Stir the Pot (blue),common,MST101,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST101.png,pjpcnH9bKnGR6KFCFGz6Q,Stir the Pot,3,0,,,,,"Mystic, Instant","Legendary, Transcend",,,,,,"**Legendary**  Shuffle.  If you've played another blue card this turn, **transcend**.",Mystic Instant,,,,,,179,39,82,58
The Grain that Tips the Scale (blue),common,MST102,"Mystic, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST102.png,DgHLhRDccpLbjGT9nN8Jm,The Grain that Tips the Scale,3,0,,,,,"Mystic, Instant","Legendary, Transcend",,,,,,"**Legendary**  Target attack gets +1{p}.  If you've played another blue card this turn, **transcend**.",Mystic Instant,,,,,,150,56,37,57
Bonds of Agony (blue),mythic,MST103,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST103.png,wJtCpBD9Hd8TzNRghPzFM,Bonds of Agony,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  If you've played or activated 3 or more attack reactions this chain link, this gets +3{p} and ""When this hits a hero, look at their hand and choose a card. Search their hand, deck, and graveyard and banish up to 3 cards with the same name as the chosen card. They shuffle.""",Assassin Action - Attack,,,,No,,15,15,0,0
Persuasive Prognosis (blue),mythic,MST104,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST104.png,pnfqGpznd7LM8JQHQJfPB,Persuasive Prognosis,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck. Then look at their hand and banish a card with the same color as the banished card.  Whenever this banishes an action card, gain 1{h}.",Assassin Action - Attack,,,,No,,16,16,0,0
Just a Nick (red),mythic,MST105,"Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST105.png,JpTPzw6fB8bK6JjRpTmPC,Just a Nick,1,0,,3,,,"Assassin, Attack Reaction",,,,,,Stealth,"Choose 1 or both; - Target attack action card with 1 or less base {p} gets +5{p}. - Target attack with **stealth** gets ""When this hits a hero, banish the top card of their deck.""",Assassin Attack Reaction,,,,No,,17,17,0,0
Art of Desire: Body (red),rare,MST106,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST106.png,KmwdjTRNdP6LTTrwm8NN8,Art of Desire: Body,1,0,3,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a red card, draw a card and gain 1{h}.",Assassin Action - Attack,,,,No,,61,61,0,0
Art of Desire: Soul (yellow),rare,MST107,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST107.png,8rJMBH8Bm7WcLrH8T9WbN,Art of Desire: Soul,2,0,2,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a yellow card, draw a card and gain 1{h}.",Assassin Action - Attack,,,,No,,35,35,0,0
Art of Desire: Mind (blue),rare,MST108,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST108.png,JbgBc7fQLWMjtWQDhnwkm,Art of Desire: Mind,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a blue card, draw a card and gain 1{h}.",Assassin Action - Attack,,,,No,,52,52,0,0
Bonds of Attraction (red),rare,MST109,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST109.png,dTftJfGFgDFTcPdkFKQGC,Bonds of Attraction,1,0,3,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck, then banish a card from their graveyard.  Whenever this banishes a card and this has banished another card with the same color, gain 1{h}.",Assassin Action - Attack,,,,No,,49,49,0,0
Bonds of Attraction (yellow),rare,MST110,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST110.png,ffNt7P8KbGTzB8NBf9jD8,Bonds of Attraction,2,0,2,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck, then banish a card from their graveyard.  Whenever this banishes a card and this has banished another card with the same color, gain 1{h}.",Assassin Action - Attack,,,,No,,35,35,0,0
Bonds of Attraction (blue),rare,MST111,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST111.png,dBcbb7TPrWTwm9q8Mff9L,Bonds of Attraction,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck, then banish a card from their graveyard.  Whenever this banishes a card and this has banished another card with the same color, gain 1{h}.",Assassin Action - Attack,,,,No,,51,51,0,0
Double Trouble (red),rare,MST112,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST112.png,qHT6BFpP7DTCFHwGz6hDR,Double Trouble,1,0,3,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  If you've played or activated 2 or more attack reactions this chain link, this gets +2{p} and ""When this hits a hero, banish the top 2 cards of their deck.""",Assassin Action - Attack,,,,No,,75,75,0,0
Double Trouble (yellow),rare,MST113,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST113.png,9dbWPMjhR869wJwCdgh8b,Double Trouble,2,0,2,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  If you've played or activated 2 or more attack reactions this chain link, this gets +2{p} and ""When this hits a hero, banish the top 2 cards of their deck.""",Assassin Action - Attack,,,,No,,46,46,0,0
Double Trouble (blue),rare,MST114,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST114.png,8r7DqKfDrBG6C8mTDRKN7,Double Trouble,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  If you've played or activated 2 or more attack reactions this chain link, this gets +2{p} and ""When this hits a hero, banish the top 2 cards of their deck.""",Assassin Action - Attack,,,,No,,55,55,0,0
Bonds of Memory (red),common,MST115,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST115.png,bndJRd9j7KdFrzkwKngmJ,Bonds of Memory,1,0,3,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck, then banish a card from their graveyard.  Whenever this banishes a card and this has banished another card with the same name, gain 1{h}.",Assassin Action - Attack,,,,,,154,154,0,0
Bonds of Memory (yellow),common,MST116,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST116.png,PpqRhHJBbdPQQCCDg6kQQ,Bonds of Memory,2,0,2,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck, then banish a card from their graveyard.  Whenever this banishes a card and this has banished another card with the same name, gain 1{h}.",Assassin Action - Attack,,,,,,55,55,0,0
Bonds of Memory (blue),common,MST117,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST117.png,RGd9j6fF9Nn8NFB9B6pfN,Bonds of Memory,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck, then banish a card from their graveyard.  Whenever this banishes a card and this has banished another card with the same name, gain 1{h}.",Assassin Action - Attack,,,,,,139,139,0,0
Desires of Flesh (red),common,MST118,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST118.png,Q9tHhJBMzdRk6HGC9nBGp,Desires of Flesh,1,0,3,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes an attack action card, gain 1{h}.",Assassin Action - Attack,,,,,,163,163,0,0
Desires of Flesh (yellow),common,MST119,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST119.png,qFhpqb6pJPNNg7mBRPTMh,Desires of Flesh,2,0,2,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes an attack action card, gain 1{h}.",Assassin Action - Attack,,,,,,83,83,0,0
Desires of Flesh (blue),common,MST120,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST120.png,pCbzCcWBdprHzJk68tGWB,Desires of Flesh,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes an attack action card, gain 1{h}.",Assassin Action - Attack,,,,,,144,144,0,0
Impulsive Desire (red),common,MST121,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST121.png,68HKwDLNHwFdPpdpFMJBg,Impulsive Desire,1,0,3,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a reaction or instant card, gain 1{h}.",Assassin Action - Attack,,,,,,133,133,0,0
Impulsive Desire (yellow),common,MST122,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST122.png,99gF9qJ67mCbKjkjHCFfR,Impulsive Desire,2,0,2,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a reaction or instant card, gain 1{h}.",Assassin Action - Attack,,,,,,35,35,0,0
Impulsive Desire (blue),common,MST123,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST123.png,9Lht6BjkgdNDtQzkGbqrn,Impulsive Desire,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a reaction or instant card, gain 1{h}.",Assassin Action - Attack,,,,,,138,138,0,0
Mind's Desire (red),common,MST124,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST124.png,MqwKQzHWH9pbKCCrBnzbN,Mind's Desire,1,0,3,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a non-attack action card, gain 1{h}.",Assassin Action - Attack,,,,,,130,130,0,0
Mind's Desire (yellow),common,MST125,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST125.png,qQRkbt6WDKDMNbMRrqPC9,Mind's Desire,2,0,2,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a non-attack action card, gain 1{h}.",Assassin Action - Attack,,,,,,54,54,0,0
Mind's Desire (blue),common,MST126,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST126.png,7n96D77LqTKKkhnMrNTwr,Mind's Desire,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  When this hits a hero, banish the top card of their deck.  Whenever this banishes a non-attack action card, gain 1{h}.",Assassin Action - Attack,,,,,,131,131,0,0
Pick to Pieces (red),common,MST127,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST127.png,GNG6HwgpGmmGwf6nCftpt,Pick to Pieces,1,0,3,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  If you've played or activated an attack reaction this chain link, this gets +1{p} and ""Damage that would be dealt by this can't be prevented.""",Assassin Action - Attack,,,,,,165,165,0,0
Pick to Pieces (yellow),common,MST128,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST128.png,TpbW7qkkHqMWdfT9FRn67,Pick to Pieces,2,0,2,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  If you've played or activated an attack reaction this chain link, this gets +1{p} and ""Damage that would be dealt by this can't be prevented.""",Assassin Action - Attack,,,,,,86,86,0,0
Pick to Pieces (blue),common,MST129,"Assassin, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST129.png,GTNPMFWmcDcDdcJP7WhNd,Pick to Pieces,3,0,1,3,,,"Assassin, Action, Attack",Stealth,,,,,,"**Stealth**  If you've played or activated an attack reaction this chain link, this gets +1{p} and ""Damage that would be dealt by this can't be prevented.""",Assassin Action - Attack,,,,,,138,138,0,0
"10,000 Year Reunion (red)",mythic,MST131,"Illusionist, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST131.png,FM9T9Dg8bj9h9MW7k9HCQ,"10,000 Year Reunion",1,8,,3,,,"Illusionist, Action, Aura",Ward 10,,,,,,"You may remove three +1{p} counters from among auras you control rather than pay 10,000 Year Reunion's {r} cost.  **Ward 10**",Illusionist Action - Aura,,,,No,,8,0,8,0
Rage Specter (blue),mythic,MST132,"Illusionist, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST132.png,nfhcD8HGDHLDNCGhfLnKK,Rage Specter,3,2,,3,,,"Illusionist, Action, Aura","Ward 1, Ward 6",,,,,,"When this enters the arena, if you control no other Illusionist auras, gain 1 action point.  During your turn, this has **ward 6**. Otherwise, this has **ward 1**.",Illusionist Action - Aura,,,,No,,10,0,10,0
Restless Coalescence (yellow),mythic,MST133,"Illusionist, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST133.png,cFpmN9tpMR8cLKDzkNtzz,Restless Coalescence,2,0,,,,,"Illusionist, Instant, Aura",Ward 2,Once per Turn Instant,,,,,"When this enters the arena, move any number of +1{p} counters from auras you control onto this.  **Once per Turn Instant** - Remove a +1{p} counter from this: Create a Spectral Shield token.  **Ward 2**",Illusionist Instant - Aura,,,,No,,15,0,15,0
Astral Etchings (red),rare,MST134,"Illusionist, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST134.png,9zdPMfzWLFq7PWbjKmCc6,Astral Etchings,1,1,,3,,,"Illusionist, Action",,,,,,Ward,"Put three +1{p} counters on target aura with **ward** you control.  If you control a Spectral Shield, you may play this as though it were an instant.",Illusionist Action,,,,No,,56,0,56,0
Astral Etchings (yellow),rare,MST135,"Illusionist, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST135.png,cmknRBBPtjNQzhkQPWpcJ,Astral Etchings,2,1,,3,,,"Illusionist, Action",,,,,,Ward,"Put two +1{p} counters on target aura with **ward** you control.  If you control a Spectral Shield, you may play this as though it were an instant.",Illusionist Action,,,,No,,50,0,50,0
Astral Etchings (blue),rare,MST136,"Illusionist, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST136.png,DpWbbCGtWQJwRhrKr9Cwm,Astral Etchings,3,1,,3,,,"Illusionist, Action",,,,,,Ward,"Put a +1{p} counter on target aura with **ward** you control.  If you control a Spectral Shield, you may play this as though it were an instant.",Illusionist Action,,,,No,,46,0,46,0
Essence of Ancestry: Body (red),rare,MST137,"Illusionist, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST137.png,qMzCjGnnHpbqRJPtJfp6T,Essence of Ancestry: Body,1,0,,3,,,"Illusionist, Action, Aura",Ward 2,,,,,,"When this leaves the arena, if you control no Illusionist auras, the next time you would be dealt damage by a red source this turn, prevent it.  **Ward 2**",Illusionist Action - Aura,,,,No,,45,0,45,0
Essence of Ancestry: Soul (yellow),rare,MST138,"Illusionist, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST138.png,Nw6hkj6NCpWtBN9BcTFcq,Essence of Ancestry: Soul,2,0,,3,,,"Illusionist, Action, Aura",Ward 2,,,,,,"When this leaves the arena, if you control no Illusionist auras, the next time you would be dealt damage by a yellow source this turn, prevent it.  **Ward 2**",Illusionist Action - Aura,,,,No,,36,0,36,0
Essence of Ancestry: Mind (blue),rare,MST139,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST139.png,HMMRL8LDTCdzFRpzgTCkz,Essence of Ancestry: Mind,3,0,,3,,,"Illusionist, Action, Aura",Ward 2,,,,,,"When this leaves the arena, if you control no Illusionist auras, the next time you would be dealt damage by a blue source this turn, prevent it.  **Ward 2**",Illusionist Action - Aura,,,,No,,60,0,60,0
Haunting Specter (red),rare,MST140,"Illusionist, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST140.png,6t8mpJGpHNQ9MKNrm99pr,Haunting Specter,1,2,,2,,,"Illusionist, Action, Aura",Ward 4,,,,,,"When this leaves the arena, create a Spectral Shield token, then if you control no other Illusionist auras, put a +1{p} counter on it.  **Ward 4**",Illusionist Action - Aura,,,,No,,40,0,40,0
Haunting Specter (yellow),rare,MST141,"Illusionist, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST141.png,GTj8JGDq7LfKj8HjpNhmn,Haunting Specter,2,2,,2,,,"Illusionist, Action, Aura",Ward 3,,,,,,"When this leaves the arena, create a Spectral Shield token, then if you control no other Illusionist auras, put a +1{p} counter on it.  **Ward 3**",Illusionist Action - Aura,,,,No,,25,0,25,0
